class_id	class_smarts
Goniomitinane	[#6]-[#6]C12[#6]-[#6]-[#6]-[#7](-[*,#1])-[#6]1-n1c(-[#6]-[#6]2)cc2ccccc12
Spiro.Aspidosperma	[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#7]-2-[#6]-[#6]C3([#6]-1-2)[#6](=O)-[#7](-[*,#1])-c1ccccc31
Seco.Aspidosperma	[#6]-[#6]C1([#6]-[#6]-[#6]2-[#7](-[*,#1])-c3ccccc3C22[#6]-[#6]-[#7](-[#6]12)-[#6](-[#6])=O)[#6]=O
Leucolusinan	[#6]-[#6]C12[#6]-[#6]-[#8]-[#6]1-[#7](-[#6]-[#6]C1([#1,!#6])[#6](=O)-[#7](-[*,#1])-c3ccccc13)-[#6]-[#6]-[#6]2
Mersicarpinan	[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-nc-3-[#6]-2-[#7](-[#6]-1)-c1ccccc-31
Angustinan	c:c-c1cncc2-[#6]-[#7]-3-[#6]-[#6]-c4c(-[#6]-3-[#6]-c12)n(-[*,#1])c1ccccc41
Fruticosinan	[*,#1]-[#7]1-c2ccccc2C23[#6]-4-[#6]-[#7]-5-,=[#6]-[#6]-,=[#6]C6([#6]-,=[#6]C12[#6]-[#6]6-[#6]-4)[#6]3-5
Dasyrachinan	[*,#1]-[#7]1-c2ccccc2C23[#6]-4-[#6]-[#7]-5-,=[#6]-[#6]-,=[#6]C6([#6]-,=[#6]C12[#6]-[#6]-4-[#6]6)[#6]3-5
Antirhinan	[#6]~[#6]-[#6](-[#6]-[#8])-[#6]1-[#6]-[#6]-2-[#7](-[#6]-[#6]-c3c-2n(-[*,#1])c2ccccc32)-[#6]C1([#1,!#6])[#1,!#6]
Sempervirinan	[#6]-1-[#6]-[#6]-c2cn3ccc4c5ccccc5nc4c3cc2-[#6]-1
Vincorinan	[#6]-[#6]~[#6]-1-[#6]-[#7]2-[#6]-[#6]C34[#6]-[#6]-1-[#6]-[#6]C23[#7](-[*,#1])-c1ccccc41
Stemmadeninan	[#6]-[#6]~[#6]-1-[#6]-[#7]-2-[#6]-[#6]-[#6]-1-[#6]-c1c(-[#6]-[#6]-2)c2ccccc2n1-[*,#1]
Seco.Strychnidine	[#6]-[#6]~[#6]-1-[#6]-[#7](-[*,#1])-[#6]-[#6]C23[#6]-[#6]-[#6]-1-[#6]-1-[#6]-[#8]-[#6]-[#6]-[#7](-[#6]2-1)-c1ccccc31
Isocoryman	[*,#1]-[#7]1-[#6]-[#6]C23[#6]-4-[#6]-[#6]-[#6](-[#8]-[#6]-4=O)C12[#7](-[*,#1])-c1ccccc31
Cymosidan	[#6]~[#6]-[#6]-1-[#6]-[#8]-[#6]-[#6]2-[#6]-1-[#6]-[#6]1-[#7](-[*,#1])-[#6]-[#6]-[#6]3-c4ccccc4-[#7](-[*,#1])C213
Arbophyllidinan	[#6]-[#6]~[#6]1-[#6]-[#7]-2-[#6]-[#6]C11[#6]-c3c(-[#6]-[#6]-21)c1ccccc1n3-[*,#1]
Arbophyllinan	[#6]-[#6]C12[#6]-[#7]3-[#6](-[#6]-[#6]1-[#6]-[#6]-[#8]2)-c1c(-[#6]C3([#1,!#6])[#1,!#6])c2ccccc2n1-[*,#1]
Arboricinan	[*,#1]-n1c2-[#6]-3-[#7](-[#6]-[#6]-[#6](-c:[c](-[#1,!#6])(-[#1,!#6])-[#1,!#6])-c-3:[c](-[#1,!#6])(-[#1,!#6]):[c](-[#1,!#6])(-[#1,!#6])-[#1,!#6])C([#1,!#6])([#1,!#6])[#6]-c2c2ccccc12
Apogissoschizan	[#6]-[#6]~[#6]-1-[#6]-[#7]-2-[#6]-[#6]-[#6]-3~[#6]-4-[#6]-2-[#6]-[#6]-1-[#6]~[#6]-[#7]-4-c1ccccc-31
Arboflorinan	[*,#1]-[#7]-1-[#6]-[#6]-2~[#6]-[#6]-[#6]-[#7]-3-[#6]-[#6]-c4c(-[#6](-[#6]-2-3)-[#6]-1=O)n(-[*,#1])c1ccccc41
Arboduridinan	[#6]-1-[#6]-[#7]-2-[#6]-[#6]C34[#6]-[#6]-2-[#6]-1-[#6]-c3n-c1ccccc41
Alstoscholactan	[*,#1]-[#7]-1-[#6]-[#6]-[#6]-2-[#6]-c3c(-[#6]-[#6]-[#6]-2-[#6]-1)c1ccccc1n3-[*,#1]
Mappianinan	[*,#1]-n1c2-[#6]-[#6]-3-[#6]-4-[#6]~[#6]-[#8]-[#6]-[#6]-4-[#6]-[#7]-3-[#6]-[#6]-c2c2ccccc12
Meloteninan	[#6]-[#6]~1-[#6]~[#6]-[#6]-[#7]-2-[#6]-[#6]C34[#6](~[#6]-[#6]-[#6]~1-[#6]-23)-[#7](-[*,#1])-c1ccccc41
Iboluteninan	[#6]-[#6]~[#6]-1-[#6]-[#6]-2-[#6]-[#6]3-[#6]-1-[#7](-[#6]-[#6]C31[#7](-[*,#1])-c3ccccc3-[#6]1=O)-[#6]-2
Ervaoffinan	O=[#6]-1-[#6]-2-[#6]-3-[#6]-[#6]-4-[#6]-[#6]-[#6]-3-[#7](-[#6]-4)-[#6]-[#6]-[#7]-2-c2ccccc-12
Nor.Iboga	[#6]-[#6]-,=[#6]-1-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-1-[#7](-[#6]-2)-[#6]-c1c-3n(-[*,#1])c2ccccc12
Nor.Seco.Iboga	[#6]-[#6]-,=[#6]-1-[#6]-[#6]-2-[#6]-[#6](-[#6]-1-[#7](-[*,#1])-[#6]-2)-c1c(-[#1,!#6])c2ccccc2n1-[*,#1]
Voatingginan	[*,#1]-[#7]1-c2ccccc2-[#6]2-[#6]-[#6]-[#7]3-[#6]-[#6]-4-[#6]-[#6]~[#6]-[#6](-[#6]-4)C123
Isoconolutinan	[#6]-[#6]C12[#6]-[#6]C34[#6](-[#6]-[#6]-[#7]3-[#6]-[#6]-[#6]1)-c1ccccc1-[#7]4-[#6]2
Hunteracinan	[#6]-[#6]~[#6]-1-[#6][N+]23[#6]-[#6]-[#6]4-c5ccccc5-[#7](-[*,#1])C24[#6]-[#6]-1-[#6]-[#6]3
Koumine	c:cC12[#6]-[#7](-[*,#1])-[#6]-3-[#6]-[#6]1-[#6]-[#6]-[#6]1-[#7]-c4ccccc4C21[#6]-3
Tacaman	[#6]-[#6]-[#6]-1-[#6]-[#7]-2-[#6]-[#6]-c3c4-[#6]-2C([#1,!#6])([#6]-[#6]-n4c2ccccc32)[#6]-1
Tronocarpinan	[*,#1]-[#7]-1-[#6]-[#6]-c2c3n(-[#6]-[#6]-4-[#6]-[#6]-[#6]C3([#6]-4)[#6]-1)c1ccccc21
Secodine	[#6]-[#6]C1([#1,!#6])C([#1,!#6])([#1,!#6])[#7](-[#6]-[#6]-c2c(-c:c)n(-[*,#1])c3ccccc23)C([#1,!#6])([#1,!#6])C([#1,!#6])([#1,!#6])C1([#1,!#6])[#1,!#6]
